GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=11/18/2017
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
11125,fuelbed_11125.xml,66,230.000000,3.396047,0.000000,0.517275,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.350000,0.350000,0.420000,1.500000,1.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.100000,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.500000,0.000000,0.000000,0.000000,14.783322,11,11
11126,fuelbed_11126.xml,66,230.000000,3.396047,0.000000,0.517275,0.000000,0.000000,0.000000,0.000000,0.000000,3.500000,0.000000,90.000000,0.000000,0.400000,0.000000,90.000000,0.000000,0.400000,0.350000,0.420000,2.000000,1.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.300000,0.500000,0.000000,0.000000,0.000000,15.983322,11,11
11131,fuelbed_11131.xml,66,230.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.100000,0.110000,0.200000,0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.310000,11,11
11132,fuelbed_11132.xml,66,230.000000,1.798157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,90.000000,0.000000,0.600000,0.000000,90.000000,0.000000,0.200000,0.220000,0.400000,0.800000,0.380000,0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.528157,11,11
11133,fuelbed_11133.xml,66,230.000000,4.720162,0.000000,1.086277,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.500000,0.450000,0.450000,1.000000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.000000,0.000000,0.000000,20.706440,11,11
11134,fuelbed_11134.xml,66,230.000000,7.866936,0.000000,1.034550,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.550000,0.890000,0.500000,1.500000,1.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.000000,0.000000,0.000000,26.591486,11,11
11135,fuelbed_11135.xml,66,230.000000,11.013712,0.000000,1.034550,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,90.000000,0.000000,0.400000,0.000000,90.000000,0.000000,0.550000,0.890000,0.550000,2.000000,1.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.000000,0.000000,0.000000,30.438263,11,11
11136,fuelbed_11136.xml,66,230.000000,11.013712,0.000000,1.034550,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,90.000000,0.000000,0.300000,0.000000,90.000000,0.000000,0.600000,0.890000,0.600000,2.500000,1.500000,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.800000,0.500000,0.000000,0.000000,0.000000,31.438263,11,11
13141,fuelbed_13141.xml,90,230.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.500000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.300000,0.700000,0.350000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,8.500000,11,11
13142,fuelbed_13142.xml,90,230.000000,15.869255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.500000,0.900000,0.400000,0.750000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,28.349255,11,11
13143,fuelbed_13143.xml,90,230.000000,15.869255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,90.000000,0.000000,0.500000,0.000000,90.000000,0.000000,0.700000,1.000000,0.450000,1.000000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,31.079256,11,11
13144,fuelbed_13144.xml,90,230.000000,15.869255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,0.000000,90.000000,0.000000,0.400000,0.000000,90.000000,0.000000,0.750000,1.200000,0.550000,2.000000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.700000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,31.629255,11,11
13145,fuelbed_13145.xml,90,230.000000,15.869255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,90.000000,0.000000,0.300000,0.000000,90.000000,0.000000,0.750000,1.410000,0.650000,2.500000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,30.539255,11,11
13146,fuelbed_13146.xml,90,230.000000,15.869255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,90.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.800000,1.410000,0.750000,3.000000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.600000,0.000000,0.000000,0.000000,28.139256,11,11
15131,fuelbed_15131.xml,89,230.000000,0.099037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.960000,1.410000,1.370000,1.750000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,17.149038,11,11
15132,fuelbed_15132.xml,89,230.000000,0.233029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.960000,1.410000,1.370000,1.750000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.300000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,19.483028,11,11
15133,fuelbed_15133.xml,89,230.000000,0.466057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000001,0.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.960000,1.410000,1.370000,1.750000,0.880000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.800000,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,0.000000,0.000000,0.000000,26.216059,11,11
