Filename,FB_ID,FB_name,FCCS_Code,SFP,Surface_Reaction,Surface_Spread,Surface_Flamelength,CFP,Crown_Initiation,Crown_Transmissivity,Crown_Spread,AFP,Available_Flame,Available_Smolder,Available_Residual,Version
fuelbed_31115.xml,31115,"Mesic upland 61-100 yr old longleaf pine forest, 1-3 yr mFRI",521,5.3406,4.6177,5.3406,3.6769,1.8236,2.1101,0,2.1448,0.8075,0.6488,0.0298,0.129,3.0.257
fuelbed_31116.xml,31116,"Mesic upland >100 yr old longleaf pine forest, 1-3 yr mFRI",521,5.1698,4.6313,5.1698,3.6302,1.799,2.0868,0,2.1107,0.8535,0.6749,0.0349,0.1437,3.0.257
fuelbed_31121.xml,31121,"Mesic upland 0-10 yr old longleaf pine forest, 4-8 yr mFRI",300,3.1227,3.9411,3.1227,2.5569,0.3581,0,0,0.8356,0.2421,0.2321,0.004,0.0059,3.0.257
fuelbed_31122.xml,31122,"Mesic upland 11-20 yr old longleaf pine forest, 4-8 yr mFRI",521,4.997,4.3529,4.997,3.3688,2.314,3.3156,0,2.0834,0.53,0.4198,0.0192,0.0909,3.0.257
fuelbed_31123.xml,31123,"Mesic upland 21-40 yr old longleaf pine forest, 4-8 yr mFRI",541,4.8894,4.339,4.8894,3.4088,3.5099,2.7741,7.1922,3.0177,1.0395,0.7845,0.0837,0.1713,3.0.257
fuelbed_31124.xml,31124,"Mesic upland 41-60 yr old longleaf pine forest, 4-8 yr mFRI",531,4.5413,4.5595,4.5413,3.4053,3.1821,2.1495,7.1922,2.8775,1.1252,0.8492,0.09,0.186,3.0.257
fuelbed_31125.xml,31125,"Mesic upland 61-100 yr old longleaf pine forest, 4-8 yr mFRI",431,4.0256,4.2624,4.0256,3.1905,3.0579,1.8592,7.1922,2.8781,1.4108,1.1147,0.0953,0.2008,3.0.257
fuelbed_31126.xml,31126,"Mesic upland >100 yr old longleaf pine forest, 9-20 yr mFRI",431,4.0376,3.7888,4.0376,3.0888,3.0279,1.8075,7.1922,2.8598,1.4078,1.0932,0.099,0.2156,3.0.257
fuelbed_31131.xml,31131,"Mesic upland 0-10 yr old longleaf pine forest, 9-20 yr mFRI",300,2.9387,4.5111,2.9387,2.7717,0,0,0,0,0.4636,0.4516,0.006,0.0059,3.0.257
fuelbed_31132.xml,31132,"Mesic upland 11-20 yr old longleaf pine forest, 9-20 yr mFRI",421,4.3695,4.5446,4.3695,3.3625,2.3832,3.523,0,2.0374,0.9509,0.7651,0.0772,0.1086,3.0.257
fuelbed_31133.xml,31133,"Mesic upland 21-40 yr old longleaf pine forest, 9-20 yr mFRI",552,4.8305,4.6969,4.8305,3.667,4.777,5.8979,7.1922,2.8503,1.7473,1.2723,0.289,0.186,3.0.257
fuelbed_31134.xml,31134,"Mesic upland 41-60 yr old longleaf pine forest, 9-20 yr mFRI",532,5.0522,4.4496,5.0522,3.7312,3.3642,2.3797,7.1922,3.0721,1.9908,1.4026,0.3028,0.2855,3.0.257
fuelbed_31135.xml,31135,"Mesic upland 61-100 yr old longleaf pine forest, 9-20 yr mFRI",532,4.8085,4.4817,4.8085,3.6805,3.3037,2.14,7.1922,3.1708,2.3339,1.6324,0.3166,0.3849,3.0.257
fuelbed_31136.xml,31136,"Mesic upland >100 yr old longleaf pine forest, 9-20 yr mFRI",432,4.3028,4.508,4.3028,3.5245,3.1768,2.0608,7.1922,2.9537,2.3778,1.6561,0.3221,0.3997,3.0.257
fuelbed_31513.xml,31513,"Mesic upland 21-40 yr old  long-needle pine plantation, 1-3 yr mFRI",621,5.7955,3.938,5.7955,3.4938,2.0591,2.3502,0,2.4541,0.501,0.4022,0.018,0.0807,3.0.257
fuelbed_31514.xml,31514,"Mesic upland 21-40 yr old  long-needle pine plantation, 1-3 yr mFRI",521,4.758,4.5299,4.758,3.4439,1.8131,1.987,0,2.2433,0.7642,0.6049,0.0297,0.1296,3.0.257
fuelbed_31523.xml,31523,"Mesic upland 21-40 yr old  long-needle pine plantation, 4-8 yr mFRI",641,6.3221,5.0663,6.3221,4.2938,3.7275,2.9089,7.1922,3.3906,1.1395,0.883,0.0845,0.172,3.0.257
fuelbed_31524.xml,31524,"Mesic upland 41-60 yr old  long-needle pine plantation, 4-8 yr mFRI",642,6.1411,5.2666,6.1411,4.3373,3.5743,2.4939,7.1922,3.4482,1.6493,1.2338,0.1013,0.3142,3.0.257
fuelbed_31532.xml,31532,"Mesic upland 11-20 yr old  long-needle pine plantation, 9-20 yr mFRI",531,5.4704,5.5563,5.4704,4.2888,2.7521,4.0902,0,2.331,1.1572,0.9711,0.0769,0.1092,3.0.257
fuelbed_31533.xml,31533,"Mesic uplands 21-40 yr old  long-needle pine plantation, 9-20 yr mFRI",642,6.1713,5.5285,6.1713,4.579,3.7765,3.2892,7.1922,3.1246,1.8726,1.3972,0.2886,0.1869,3.0.257
fuelbed_31534.xml,31534,"Mesic uplands 41-60 yr old  long-needle pine plantation, 9-20 yr mFRI",742,6.5976,5.1118,6.5976,4.6102,3.7115,2.7973,7.1922,3.4648,2.3788,1.6975,0.3097,0.3715,3.0.257
fuelbed_31541.xml,31541,Mesic upland 0-10 yr old long-needle pine plantation >20 yr mFRI,331,2.7902,5.0648,2.3122,2.7902,2.5165,0,8.8547,2.92,1.4782,0.9809,0.2328,0.2645,3.0.257
fuelbed_31542.xml,31542,Mesic upland 11-20 yr old long-needle pine plantation >20 yr mFRI,452,3.7338,4.8508,3.7338,3.3925,4.7518,3.841,8.8547,4.2941,1.9213,1.2979,0.3405,0.283,3.0.257
fuelbed_31543.xml,31543,Mesic upland 21-40 yr old long-needle pine plantation >20 yr mFRI,553,5.0991,5.2448,5.0991,4.1345,5.3342,3.962,8.8547,5.5321,2.8421,2.0176,0.5915,0.233,3.0.257
fuelbed_31544.xml,31544,Mesic upland 41-60 yr old long-needle pine plantation >20 yr mFRI,673,5.5724,5.3005,5.5724,4.3814,6.7018,7.7758,7.1922,5.4633,3.1502,2.2843,0.6021,0.2638,3.0.257
fuelbed_32141.xml,32141,"Mesic upland 0-10 yr old oak-pine forest, >20 yr mFRI",300,2.906,2.5932,2.906,2.0666,0,0,0,0,0.3764,0.3576,0.0072,0.0116,3.0.257
fuelbed_32142.xml,32142,"Mesic upland 11-20 yr old oak-pine forest, >20 yr mFRI",321,3.2888,2.6938,3.2888,2.2866,2.4982,2.285,5.8419,1.5964,0.8405,0.678,0.0695,0.0929,3.0.257
