topo_code,topo_pig,cover_code,cover_pig,treatment_code,treatment_pig,mfri_code,mfri_pig,age_code,age_pig
1,0.8,1,0.95,1,1,1,1,1,0.01
2,0.85,2,0.5,2,0.1,2,0.85,2,0.05
3,0.9,3,0.5,3,0.1,3,0.7,3,0.35
4,0.95,4,0.05,4,1,4,0.1,4,0.65
5,1,5,0.6,5,1,0,1,5,0.95
-1,0,6,0.6,6,0.1,-1,0,6,1
-1,0,7,1,7,0.1,-1,0,0,1
-1,0,8,0,8,1,-1,0,-1,0
-1,0,9,0,9,1,-1,0,-1,0
